probe.code	0	0	0	0	0	0.69	0.69	0.69	0.69	0.69	1.223	1.223	1.223	1.223	1.223	2.148	2.148	2.148	2.148	2.148	3.774	3.774	3.774	3.774	3.774	6.631	6.631	6.631	6.631	6.631
1	4.231629783	2.140883992	3.227186869	1.908246092	2.955470718	2.33634995	2.515822943	2.051665484	2.497330569	2.594906552	1.983509158	2.391631361	1.914577152	1.639975319	1.548909554	2.269920939	2.041783016	2.009741297	1.685470159	1.638983897	2.89679283	1.71504595	2.335997392	1.747853971	1.916522886	2.312464495	2.694651349	3.379514225	2.46245339	2.44552914
2	4.405955611	5.744031624	4.027572535	4.310728375	5.21102271	5.477585052	5.156467407	7.269052789	4.931510037	4.238958017	5.602793867	5.16334576	5.059468633	4.25262532	4.967932185	4.405749395	5.362371345	5.727380296	4.342953622	4.594163342	5.719615801	5.346418703	6.451850702	3.154794135	5.365537525	3.352860199	4.421895166	4.594438671	4.506066811	4.941819968
3	8.460331383	7.897751088	8.28266544	8.394280042	8.823813993	8.155231623	8.026835463	9.039347072	7.952162306	8.076976422	7.999835997	8.706208314	8.689742945	8.675016682	7.9392977	8.298495197	8.279725714	9.597307878	7.757622689	8.043667124	8.380477516	7.946425004	8.810703367	8.153722764	8.528836565	8.931998258	7.856363898	9.116741363	8.703692863	8.950011084
4	9.999640691	8.173893962	8.055973245	7.497922873	9.844207521	8.06200565	9.03767653	8.885820812	7.942051127	7.495799876	8.762589666	8.46891805	8.268751577	8.287596036	7.889619557	7.966542366	8.394998943	8.246627079	7.924185419	8.04057741	8.172998973	7.999440284	9.676461888	7.383455471	8.193048737	10.56394174	8.265986748	11.28303856	8.62783516	9.209023418
5.1	4.229227973	4.093249159	3.4059665	3.037111054	5.474606068	14.64256395	5.188790982	3.507637362	2.782401435	3.108175993	5.373771041	4.658910092	4.111233342	3.592538364	4.522175676	5.192091563	4.740828824	4.673322928	2.595126467	3.293842476	5.949305671	4.706959816	5.924063295	3.311936237	4.794561948	6.149131506	4.313747225	6.82122677	3.642134316	4.969941561
5.2	4.17563717	4.266264078	3.270694432	3.664600026	4.693635262	5.038435743	4.798974332	3.70010453	3.320209832	3.860769168	5.107749375	4.500657394	3.701292876	3.698695223	4.010505951	4.914514775	4.578113908	4.281835467	3.770957985	2.822358976	4.22596896	3.700076779	5.5672552	3.606218344	3.608416587	6.247453814	4.759599016	6.83543779	4.60381088	4.45863923
6.1	7.026376261	5.309827742	5.824748254	6.040078823	6.564793966	6.333499588	6.399290915	6.416805971	6.216312063	5.038963312	5.981465905	6.309566937	5.792448301	5.711029811	5.626155827	5.384336176	5.884049358	5.29940293	5.933136129	6.290678556	4.806529258	5.436271464	6.913170664	5.156902992	5.649709145	6.970607511	5.500705191	8.051592884	6.036325514	7.041439035
6.2	6.774149234	5.717075095	6.781097382	6.25308295	6.559199176	6.237891393	7.915864444	6.305483219	8.238075557	5.324790446	5.502972428	6.245786371	5.714618921	5.694319717	5.777965653	5.36550988	5.142280681	4.731895179	6.050867549	6.233926397	5.036678715	5.015470362	6.943434956	5.246079681	5.186649906	7.089783077	5.479957418	8.17447683	5.974105023	6.948328682
7.1	9.763655069	7.622997683	8.685221845	8.008160788	9.331564378	7.98828988	8.359924342	8.876059816	7.493126114	7.332916447	8.277713287	8.449851865	8.70911932	7.959432854	7.986569646	8.223709246	8.455866794	8.728528368	7.602813163	7.603218328	8.134481768	7.778893878	9.497974351	7.242817789	8.477842843	10.03260644	7.896736242	10.41137434	8.68622772	9.298018335
